Source	Target	LetterNumber	href	tu	vous	wordcount	commas	meanSentenceLength	medianSentenceLength
CHEVALIER DANCENY	CÉCILE VOLANGES	66	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_65	0	31	624	40	22.285714285714285	17.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	67	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_66	0	3	535	32	24.318181818181817	22.0
LA PRÉSIDENTE TOURVEL	VICOMTE DE VALMONT	68	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_67	0	26	443	31	31.642857142857142	30.0
VICOMTE DE VALMONT	LA PRÉSIDENTE TOURVEL	69	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_68	0	38	615	61	32.36842105263158	26.0
CÉCILE VOLANGES	CHEVALIER DANCENY	70	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_69	0	6	189	8	17.181818181818183	15.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	71	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_70	0	14	911	75	26.02857142857143	27.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	72	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_71	0	15	1535	114	28.9811320754717	24.0
CHEVALIER DANCENY	CÉCILE VOLANGES	73	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_72	0	21	438	35	19.90909090909091	19.0
VICOMTE DE VALMONT	CÉCILE VOLANGES	74	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_73	0	21	240	18	30.0	28.0
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	75	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_74	0	30	830	55	25.9375	20.0
CÉCILE VOLANGES	SOPHIE CARNAY	76	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_75	0	0	481	31	20.041666666666668	18.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	77	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_76	0	39	2133	159	30.47142857142857	27.0
VICOMTE DE VALMONT	LA PRÉSIDENTE TOURVEL	78	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_77	0	23	532	40	88.66666666666667	57.0
LA PRÉSIDENTE TOURVEL	VICOMTE DE VALMONT	79	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_78	0	52	1052	90	36.275862068965516	35.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	80	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_79	0	27	2478	204	26.934782608695652	22.0
CHEVALIER DANCENY	CÉCILE VOLANGES	81	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_80	0	25	746	64	21.941176470588236	19.5
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	82	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_81	0	58	3754	308	34.440366972477065	28.0
CÉCILE VOLANGES	CHEVALIER DANCENY	83	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_82	0	30	814	55	27.133333333333333	24.5
VICOMTE DE VALMONT	LA PRÉSIDENTE TOURVEL	84	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_83	0	38	945	76	52.5	36.0
VICOMTE DE VALMONT	CÉCILE VOLANGES	85	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_84	0	38	947	72	23.675	22.5
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	86	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_85	0	47	3566	300	24.620689655172413	20.0
